RegioCode,Regio,50PLUS,BBB,BIJ1,BVNL / Groep Van Haga,CDA,ChristenUnie,D66,DENK,Forum voor Democratie,GROENLINKS / Partij van de Arbeid (PvdA),JA21,LEF - Voor de Nieuwe Generatie,LP (Libertaire Partij),Nederland met een PLAN,Nieuw Sociaal Contract,PVV (Partij voor de Vrijheid),Partij voor de Dieren,PartijvdSport,Piratenpartij - De Groenen,Politieke Partij voor Basisinkomen,SP (Socialistische Partij),Samen voor Nederland,Splinter,Staatkundig Gereformeerde Partij (SGP),VVD,Volt,x,y
GM0762,Deurne,0.7131499060376812,9.46851057678408,0.10600876981641208,0.737242808268684,4.187346407748278,0.2746590854334313,5.025779405387173,0.5252252686358598,1.5949501276923819,8.50961306799017,0.9637160892401099,0.03854864356960439,0.028911482677203296,0.043367224015804944,14.340095407892834,30.36187539150966,1.2431937551197416,0.03854864356960439,0.05300438490820604,0.009637160892401098,3.710306943574423,0.043367224015804944,0.09637160892401099,0.09155302847781044,16.93249168794873,0.8625258998698984,-9.838368,3.0841377
GM0765,Pekela,0.36475869809203143,8.108866442199776,0.04208754208754209,0.5050505050505051,2.4691358024691357,1.3187429854096522,1.7957351290684624,0.19640852974186307,2.749719416386083,9.483726150392817,0.3787878787878788,0.014029180695847363,0.0,0.014029180695847363,16.035353535353536,41.7648709315376,1.2485970819304153,0.0,0.15432098765432098,0.0,5.765993265993266,0.18237934904601572,0.09820426487093153,1.0381593714927049,6.0606060606060606,0.21043771043771045,-11.678412,-10.017846
GM0766,Dongen,0.7650737749711579,4.529722508956221,0.12144028174145365,0.5525532819236141,4.013601311555043,0.783289817232376,6.442406946384116,1.8762523529054587,1.566579634464752,11.427530511870788,0.6011293946201955,0.02428805634829073,0.018216042261218045,0.04857611269658146,12.508349019369724,27.451575687655595,1.6576598457708422,0.05464812678365414,0.042504098609508774,0.012144028174145364,3.952881170684316,0.03643208452243609,0.19430445078632583,0.2428805634829073,19.96478231829498,1.1111785779343009,-2.1129205,-1.5113789
GM0770,Eersel,0.7704753833115032,7.504430233454041,0.10016179983049542,0.42376146082132676,5.439556206179213,0.238847368826566,6.394945681485477,0.2619616303259111,1.433084212959396,10.455350951537099,0.8398181678095384,0.015409507666230064,0.030819015332460127,0.015409507666230064,14.361661144926419,23.214423299175593,1.6025887972879267,0.015409507666230064,0.046228522998690194,0.015409507666230064,3.413205948069959,0.03852376916557516,0.10016179983049542,0.07704753833115031,20.74890207257878,2.442406965097465,-0.39146122,8.199424
GM0772,Eindhoven,0.6393601304192776,1.489293052796033,0.47888328493555454,0.41944741623787934,2.2373359145482024,0.8117241496425357,8.619899128839982,3.7249307996671592,2.285733693344881,21.126054986669384,0.551055411211303,0.0738702939528249,0.050945030312293034,0.1027391444631243,11.580654473822745,20.434051658260735,2.801127583337579,0.05264319798936947,0.13160799497342368,0.032265185864452255,4.297213306841917,0.050095946473754815,0.1519860070983409,0.20802554044186322,14.31640260159288,3.332654066262503,13.902895,-1.7250195
GM0777,Etten-Leur,0.6864120747847852,3.8871402025105235,0.20099359095908073,0.5726421176381357,3.166597140581744,0.5271341347794759,5.548181576851606,2.2071371686449996,2.013728241495696,10.834692252265919,0.8608593424096477,0.05688497857332474,0.06067731047821305,0.06446964238310136,13.178353369486898,29.58777352193864,1.3273161667109106,0.05688497857332474,0.06067731047821305,0.022753991429329896,3.7657855815540975,0.034130987143994845,0.17444726762486254,0.08343130190754294,20.00075846638098,1.020137282414957,-4.205546,-0.55324346
GM0779,Geertruidenberg,0.8155020200508754,4.503965285051623,0.0822983689959599,0.3516384857100105,3.089929672302858,0.47134520424958853,4.533891964686518,0.5162352237019303,1.8105641179111178,8.37198862786174,0.7855753404159809,0.014963339817447255,0.02992667963489451,0.05985335926978902,12.419572048481221,37.43827622325303,1.2718838844830167,0.014963339817447255,0.07481669908723627,0.05985335926978902,4.070028430345653,0.05985335926978902,0.13467005835702528,0.23941343707915608,18.120604518928626,0.6583869519676792,-11.162598,-3.7744787
GM0784,Gilze en Rijen,0.8929121251308578,5.456000985282345,0.22168852761869573,0.4310610259252417,3.060533284069216,0.32021676211589384,5.997906275016935,2.4077837305252787,1.718086089044892,12.020444608658169,0.775909846665435,0.06158014656074882,0.018474043968224645,0.03694808793644929,12.667036147546032,28.530081901594926,1.8227723381981649,0.049264117248599054,0.09852823449719811,0.018474043968224645,3.9226553359196994,0.06158014656074882,0.11700227846542274,0.08621220518504834,18.006034854362955,1.2008128579346018,-3.114722,-1.2579826
GM0785,Goirle,0.6842682848105351,3.4858950358272547,0.09683041766186819,0.45833064359950937,3.092118004002324,0.264669808275773,7.610870828222839,0.63908075656833,1.5363759602349751,16.286876250726227,0.6519914789232457,0.019366083532373637,0.04518752824220515,0.03227680588728939,13.588535278548834,24.452908140210443,1.8462332967529533,0.04518752824220515,0.05164288941966303,0.025821444709831515,4.176618681815247,0.07100897295203666,0.08391969530695242,0.07100897295203666,19.378994254728553,1.3039829578464914,6.7578588,-2.8876338
GM0794,Helmond,0.7392733882002165,2.3444360487675375,0.20421916801110954,0.41660710274266344,2.295423448444871,0.36963669410010824,5.029918108113628,3.4145444891457513,2.5221067249372027,10.831784671309249,0.6616701043559948,0.0449282169624441,0.03267506688177752,0.04697040864255519,12.835174709498233,34.02903996569118,1.3437621255131007,0.053096983682888475,0.06943451712377724,0.012253150080666571,4.666407989053853,0.051054792002777384,0.13886903424755448,0.053096983682888475,16.537668225539647,1.2559478832683235,-8.291536,-4.031665
